iso3,IndicatorCode,Year,Value,IndicatorName
IRL,SP.POP.TOTL,2005,4159914.0,Población total
IRL,GB.XPD.RSDV.GD.ZS,2005,1.2001,Gasto I+D (% PIB)
IRL,SP.POP.SCIE.RD.P6,2005,2756.38128,Investigadores por millón hab.
IMY,NY.GDP.PCAP.CD,2005,36980.1130792844,PIB per cápita (USD)
IMY,SP.POP.TOTL,2005,80345.0,Población total
ISR,NY.GDP.PCAP.CD,2005,20611.1793052385,PIB per cápita (USD)
ISR,SP.POP.TOTL,2005,6930100.0,Población total
ISR,GB.XPD.RSDV.GD.ZS,2005,4.08565,Gasto I+D (% PIB)
ITA,NY.GDP.PCAP.CD,2005,31973.9339439793,PIB per cápita (USD)
ITA,SP.POP.TOTL,2005,57969484.0,Población total
ITA,GB.XPD.RSDV.GD.ZS,2005,1.04661,Gasto I+D (% PIB)
ITA,SP.POP.SCIE.RD.P6,2005,1406.284,Investigadores por millón hab.
JAM,NY.GDP.PCAP.CD,2005,4238.3158426706605,PIB per cápita (USD)
JAM,SP.POP.TOTL,2005,2643601.0,Población total
JPN,NY.GDP.PCAP.CD,2005,35781.1700525965,PIB per cápita (USD)
JPN,SP.POP.TOTL,2005,127773000.0,Población total
JPN,GB.XPD.RSDV.GD.ZS,2005,3.3087,Gasto I+D (% PIB)
JPN,SP.POP.SCIE.RD.P6,2005,5360.19593,Investigadores por millón hab.
JOR,NY.GDP.PCAP.CD,2005,2326.49515861098,PIB per cápita (USD)
JOR,SP.POP.TOTL,2005,5411000.0,Población total
KAZ,NY.GDP.PCAP.CD,2005,3771.27895733845,PIB per cápita (USD)
KAZ,SP.POP.TOTL,2005,15147029.0,Población total
KAZ,GB.XPD.RSDV.GD.ZS,2005,0.28361,Gasto I+D (% PIB)
KEN,NY.GDP.PCAP.CD,2005,530.082157850254,PIB per cápita (USD)
KEN,SP.POP.TOTL,2005,35349040.0,Población total
KIR,NY.GDP.PCAP.CD,2005,1149.68803299255,PIB per cápita (USD)
KIR,SP.POP.TOTL,2005,92329.0,Población total
PRK,SP.POP.TOTL,2005,23813324.0,Población total
KOR,NY.GDP.PCAP.CD,2005,18657.5212532106,PIB per cápita (USD)
KOR,SP.POP.TOTL,2005,48138077.0,Población total
KOR,GB.XPD.RSDV.GD.ZS,2005,2.62617,Gasto I+D (% PIB)
KOR,SP.POP.SCIE.RD.P6,2005,3777.10678,Investigadores por millón hab.
